PLACEA,COUNTYA,PLACE_TYPE
00562,001,INCORPORATED PLACE
00674,001,INCORPORATED PLACE
02980,001,CENSUS DESIGNATED PLACE
06000,001,INCORPORATED PLACE
11964,001,CENSUS DESIGNATED PLACE
12902,001,CENSUS DESIGNATED PLACE
20018,001,INCORPORATED PLACE
22594,001,INCORPORATED PLACE
23350,001,CENSUS DESIGNATED PLACE
26000,001,INCORPORATED PLACE
33000,001,INCORPORATED PLACE
41992,001,INCORPORATED PLACE
50916,001,INCORPORATED PLACE
53000,001,INCORPORATED PLACE
56938,001,INCORPORATED PLACE
57792,001,INCORPORATED PLACE
68084,001,INCORPORATED PLACE
68112,001,CENSUS DESIGNATED PLACE
77042,001,CENSUS DESIGNATED PLACE
81204,001,INCORPORATED PLACE
01228,003,CENSUS DESIGNATED PLACE
04716,003,CENSUS DESIGNATED PLACE
38646,003,CENSUS DESIGNATED PLACE
45988,003,CENSUS DESIGNATED PLACE
47086,003,CENSUS DESIGNATED PLACE
01514,005,INCORPORATED PLACE
01518,005,CENSUS DESIGNATED PLACE
08680,005,CENSUS DESIGNATED PLACE
08828,005,CENSUS DESIGNATED PLACE
10042,005,CENSUS DESIGNATED PLACE
10044,005,CENSUS DESIGNATED PLACE
19976,005,CENSUS DESIGNATED PLACE
23980,005,CENSUS DESIGNATED PLACE
36672,005,INCORPORATED PLACE
36980,005,INCORPORATED PLACE
42142,005,CENSUS DESIGNATED PLACE
46100,005,CENSUS DESIGNATED PLACE
57148,005,CENSUS DESIGNATED PLACE
57330,005,CENSUS DESIGNATED PLACE
57834,005,INCORPORATED PLACE
59896,005,CENSUS DESIGNATED PLACE
61124,005,CENSUS DESIGNATED PLACE
77392,005,INCORPORATED PLACE
83094,005,CENSUS DESIGNATED PLACE
03792,007,CENSUS DESIGNATED PLACE
06070,007,CENSUS DESIGNATED PLACE
06560,007,INCORPORATED PLACE
09310,007,CENSUS DESIGNATED PLACE
09318,007,CENSUS DESIGNATED PLACE
09324,007,CENSUS DESIGNATED PLACE
12818,007,CENSUS DESIGNATED PLACE
13014,007,INCORPORATED PLACE
14148,007,CENSUS DESIGNATED PLACE
14442,007,CENSUS DESIGNATED PLACE
16035,007,CENSUS DESIGNATED PLACE
20270,007,CENSUS DESIGNATED PLACE
24750,007,CENSUS DESIGNATED PLACE
24918,007,CENSUS DESIGNATED PLACE
31260,007,INCORPORATED PLACE
34428,007,CENSUS DESIGNATED PLACE
38024,007,CENSUS DESIGNATED PLACE
45120,007,CENSUS DESIGNATED PLACE
51574,007,CENSUS DESIGNATED PLACE
54386,007,INCORPORATED PLACE
54388,007,CENSUS DESIGNATED PLACE
55086,007,CENSUS DESIGNATED PLACE
55520,007,INCORPORATED PLACE
59115,007,CENSUS DESIGNATED PLACE
60662,007,CENSUS DESIGNATED PLACE
62200,007,CENSUS DESIGNATED PLACE
73178,007,CENSUS DESIGNATED PLACE
74186,007,CENSUS DESIGNATED PLACE
78470,007,CENSUS DESIGNATED PLACE
86678,007,CENSUS DESIGNATED PLACE
02112,009,INCORPORATED PLACE
02770,009,CENSUS DESIGNATED PLACE
03316,009,CENSUS DESIGNATED PLACE
16210,009,CENSUS DESIGNATED PLACE
19570,009,CENSUS DESIGNATED PLACE
24897,009,CENSUS DESIGNATED PLACE
48480,009,CENSUS DESIGNATED PLACE
49628,009,CENSUS DESIGNATED PLACE
50034,009,CENSUS DESIGNATED PLACE
59220,009,CENSUS DESIGNATED PLACE
59426,009,CENSUS DESIGNATED PLACE
64420,009,CENSUS DESIGNATED PLACE
81652,009,CENSUS DESIGNATED PLACE
81890,009,CENSUS DESIGNATED PLACE
