JURIS_NAME,YEAR,APN,STREET_ADDRESS,UNIT_CAT,TENURE,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,DR_TYPE,TERM_AFF_DR,DENSITY_BONUS_TOTAL,NOTES
LONG BEACH,2021,7274019900,854 E. 7th Street,5+,Renter,14,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,
LONG BEACH,2021,7115007037,1115 East Artesia Boulevard,5+,Renter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,55,20,
GLENDALE,2021,5675-025-006,518 E Windsor Rd,5+,Owner,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,DB,55,78.900000000000006,
WEST HOLLYWOOD,2021,5531-022-003,7424 Santa Monica Blvd,5+,Renter,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,DB,1000,35,31 Net New Units
WEST HOLLYWOOD,2021,5531-008-010,1257 Detroit St,5+,Renter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,1000,30.5,N
SAN LUIS OBISPO,2021,053-202-026,830 Orcutt Rd,5+,Renter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,INC,,0,Issued
WEST HOLLYWOOD,2021,5530-014-015,1020 Ogden Dr,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB,1000,35,6 Net New Units
SAN LUIS OBISPO,2021,053-231-048,3722 Broad St,5+,Renter,0,0,0,0,0,0,26,0,10,0,0,0,0,0,0,0,0,0,DB,45,0,Issued
GLENDALE,2021,5637-004-028,352 W. Milford St.,5+,Renter,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,DB,55,33.299999999999997,PDBP 1605456; privately funded
WEST HOLLYWOOD,2021,5530-011-037,7617 Santa Monica Blvd,5+,Renter,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,DB,1000,35,71 Net New Units
SAN LUIS OBISPO,2021,053-411-002,835 El Capitan Way,5+,Renter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INC,,0,
SAN LUIS OBISPO,2021,003-721-039,207 Higuera St,5+,Renter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,INC,,0,Issued
SAN LUIS OBISPO,2021,053-203-002,3110 Duncan Rd,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,INC,,0,
MORENO VALLEY,2021,482161028,24580 COTTONWOOD AVE,5+,Renter,10,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,DB, HOME Investment Partnerships Program (HOME) funds,0,Development Standards Modification
VENTURA,2023,073-0-144-130,935 E Front St,5+,Renter,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,INC,55,0,
REEDLEY,2023,363-070-49,TBD,5+,Renter,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,,0,No other incentives/concessions except for parking
